"Date","Account","Description","Check #","Category","Credit","Debit"
"11/24/2025","CHECKING","VENMO PAYMENT 2511241046352499302WEB","","Uncategorized Expense","","-190.00"
"11/20/2025","CHECKING","CHASE CREDIT CRDEPAY 2511208893830540WEB","","Transfer Between Accounts/Credit Card Payment","","-5000.00"
"11/19/2025","CHECKING","CITY OF ALCOA BANK DRAFT251119142032002PPD","","Utilities","","-166.00"
"11/17/2025","CHECKING","PLANET FITNESS MIClub Fees251117PR2531807337810PPD","","Healthcare - HSA Spending Account","","-10.00"
"11/17/2025","CHECKING","PLANET FITNESS MIClub Fees251117PR2531806746738PPD","","Healthcare - HSA Spending Account","","-23.06"
"11/14/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25111425111468770PPD","","Healthcare - HSA Spending Account/Insurance","3076.49",""
"11/13/2025","CHECKING","ALLY ALLY PAYMT251113670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"11/10/2025","CHECKING","1110Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"11/10/2025","CHECKING","VENMO PAYMENT 2511101046039408108WEB","","Uncategorized Expense","","-190.00"
"11/10/2025","CHECKING","University HealtPR PAYMENT2511082000-000017938PPD","","Education","573.50",""
"11/07/2025","CHECKING","VENMO PAYMENT 2511071046012676673WEB","","Uncategorized Expense","","-14.00"
"11/07/2025","CHECKING","ELECTRICFUND BANK DRAFT251107UM393818PPD","","Utilities/Gas/Electric","","-163.09"
"11/04/2025","CHECKING","1104JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2350.04"
"11/04/2025","CHECKING","VENMO PAYMENT 2511041045952388310WEB","","Uncategorized Expense","","-70.00"
"11/04/2025","CHECKING","MTN LAUREL ASSC INS PREM 25110411011278 DANNYPPD","","Insurance","","-133.26"
"11/03/2025","CHECKING","1103Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"11/03/2025","CHECKING","CHASE CREDIT CRDEPAY 2511038848814900WEB","","Transfer Between Accounts/Credit Card Payment","","-15000.00"
"10/31/2025","CHECKING","University HealtPR PAYMENT2510312000-000017938PPD","","Education","9345.41",""
"10/31/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25103125103168770PPD","","Healthcare - HSA Spending Account/Insurance","3134.58",""
"10/30/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25103011 J 1991793759PPD","","Insurance","","-384.05"
"10/27/2025","CHECKING","VENMO PAYMENT 2510271045725951416WEB","","Uncategorized Expense","","-190.00"
"10/24/2025","CHECKING","CHECK","2481","Uncategorized Expense","","-72.00"
"10/20/2025","CHECKING","CITY OF ALCOA BANK DRAFT251018142032002PPD","","Utilities","","-229.00"
"10/17/2025","CHECKING","VENMO PAYMENT 2510171045553972811WEB","","Uncategorized Expense","","-1209.23"
"10/17/2025","CHECKING","PLANET FITNESS MIClub Fees251017PR2528904843411PPD","","Healthcare - HSA Spending Account","","-10.00"
"10/17/2025","CHECKING","PLANET FITNESS MIClub Fees251017PR2528904233349PPD","","Healthcare - HSA Spending Account","","-10.00"
"10/17/2025","CHECKING","PLANET FITNESS MIClub Fees251017PR2528902786398PPD","","Healthcare - HSA Spending Account","","-23.06"
"10/17/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25101725101768770PPD","","Healthcare - HSA Spending Account/Insurance","3076.50",""
"10/14/2025","CHECKING","ALLY ALLY PAYMT251014670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"10/14/2025","CHECKING","VENMO PAYMENT 2510141045423682944WEB","","Uncategorized Expense","","-190.00"
"10/10/2025","CHECKING","1010Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"10/10/2025","CHECKING","VENMO PAYMENT 2510101045403627472WEB","","Uncategorized Expense","","-10.00"
"10/10/2025","CHECKING","University HealtPR PAYMENT2510102000-000017938PPD","","Education","573.50",""
"10/09/2025","CHECKING","ELECTRICFUND BANK DRAFT251009UM393818PPD","","Utilities/Gas/Electric","","-210.39"
"10/08/2025","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","37.34",""
"10/08/2025","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","144.17",""
"10/08/2025","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","360.00",""
"10/08/2025","CHECKING","VENMO PAYMENT 2510081045366031365WEB","","Uncategorized Expense","","-300.00"
"10/06/2025","CHECKING","1006JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2350.04"
"10/03/2025","CHECKING","MTN LAUREL ASSC INS PREM 25100311011278 DANNYPPD","","Insurance","","-133.26"
"10/03/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25100325100368770PPD","","Healthcare - HSA Spending Account/Insurance","3076.49",""
"10/01/2025","CHECKING","1001Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"10/01/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25100111 J 1991793759PPD","","Insurance","","-380.75"
"09/30/2025","CHECKING","University HealtPR PAYMENT2509302000-000017938PPD","","Education","9345.40",""
"09/29/2025","CHECKING","VENMO PAYMENT 2509291045104901965WEB","","Uncategorized Expense","","-190.00"
"09/19/2025","CHECKING","MISC. DEBIT","","Uncategorized Expense","","-494.00"
"09/19/2025","CHECKING","CHASE CREDIT CRDEPAY 2509198733183514WEB","","Transfer Between Accounts/Credit Card Payment","","-15000.00"
"09/19/2025","CHECKING","CITY OF ALCOA BANK DRAFT250919142032002PPD","","Utilities","","-309.00"
"09/19/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25091925091968770PPD","","Healthcare - HSA Spending Account/Insurance","3076.50",""
"09/17/2025","CHECKING","PLANET FITNESS MIClub Fees250917PR2525907851382PPD","","Personal Care","","-10.00"
"09/17/2025","CHECKING","PLANET FITNESS MIClub Fees250917PR2525906969452PPD","","Personal Care","","-10.00"
"09/17/2025","CHECKING","PLANET FITNESS MIClub Fees250917PR2525906306700PPD","","Personal Care","","-23.06"
"09/15/2025","CHECKING","VENMO PAYMENT 2509151044807730931WEB","","Uncategorized Expense","","-190.00"
"09/15/2025","CHECKING","ALLY ALLY PAYMT250913670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"09/12/2025","CHECKING","CHECK","2480","Uncategorized Expense","","-35.00"
"09/12/2025","CHECKING","MISC. DEBIT","","Uncategorized Expense","","-540.00"
"09/10/2025","CHECKING","0910Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"09/10/2025","CHECKING","University HealtPR PAYMENT2509102000-000017938PPD","","Education","573.50",""
"09/09/2025","CHECKING","ELECTRICFUND BANK DRAFT250909UM393818PPD","","Utilities/Gas/Electric","","-260.81"
"09/05/2025","CHECKING","CHASE CREDIT CRDAUTOPAY 250905000000000296895PPD","","Transfer Between Accounts/Credit Card Payment","","-1071.00"
"09/05/2025","CHECKING","VENMO PAYMENT 2509051044632936906WEB","","Uncategorized Expense","","-25.00"
"09/05/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25090525090568770PPD","","Medical","3076.50",""
"09/04/2025","CHECKING","0904JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2350.04"
"09/03/2025","CHECKING","MTN LAUREL ASSC INS PREM 25090311011278 DANNYPPD","","Insurance","","-133.26"
"09/02/2025","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","134.00",""
"09/02/2025","CHECKING","0902Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"09/02/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25090211 J 1991793759PPD","","Insurance","","-375.91"
"09/02/2025","CHECKING","VENMO PAYMENT 2509021044502311013WEB","","Uncategorized Expense","","-190.00"
"08/29/2025","CHECKING","University HealtPR PAYMENT2508292000-000017938PPD","","Education","8965.40",""
"08/26/2025","CHECKING","CHECK","2479","Uncategorized Expense","","-335.00"
"08/22/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25082225082268770PPD","","Healthcare - HSA Spending Account/Insurance","3076.49",""
"08/21/2025","CHECKING","MISC. DEBIT","","Uncategorized Expense","","-700.00"
"08/19/2025","CHECKING","CITY OF ALCOA BANK DRAFT250819142032002PPD","","Utilities","","-367.00"
"08/18/2025","CHECKING","VENMO PAYMENT 2508181044225604158WEB","","Uncategorized Expense","","-16.00"
"08/18/2025","CHECKING","PLANET FITNESS MIClub Fees250818PR2522707999732PPD","","Personal Care","","-10.00"
"08/18/2025","CHECKING","PLANET FITNESS MIClub Fees250818PR2522707844897PPD","","Personal Care","","-10.00"
"08/18/2025","CHECKING","PLANET FITNESS MIClub Fees250818PR2522707069469PPD","","Healthcare - HSA Spending Account","","-23.06"
"08/18/2025","CHECKING","VENMO PAYMENT 2508181044204391089WEB","","Uncategorized Expense","","-190.00"
"08/13/2025","CHECKING","ALLY ALLY PAYMT250813670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"08/11/2025","CHECKING","0811Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"08/08/2025","CHECKING","ELECTRICFUND BANK DRAFT250808UM393818PPD","","Utilities/Gas/Electric","","-330.73"
"08/08/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25080825080868770PPD","","Medical","3076.50",""
"08/06/2025","CHECKING","CHASE CREDIT CRDEPAY 2508068618003940WEB","","Transfer Between Accounts/Credit Card Payment","","-5000.00"
"08/05/2025","CHECKING","CHECK","2477","Uncategorized Expense","","-45.00"
"08/05/2025","CHECKING","MTN LAUREL ASSC INS PREM 25080511011278 DANNYPPD","","Insurance","","-133.26"
"08/04/2025","CHECKING","0804JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2350.04"
"08/04/2025","CHECKING","VENMO PAYMENT 2508041043907153452WEB","","Uncategorized Expense","","-190.00"
"08/04/2025","CHECKING","Rocket Money Premium 250804ST-Q1U9W8Y8T4W4CCD","","Insurance","","-6.59"
"08/01/2025","CHECKING","0801Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"08/01/2025","CHECKING","WITHDRAWAL FROM ATM 0621 08/01 112 S HALL ROAD0621 112 S HALL","","Financial Services/ATM","","-300.00"
"07/31/2025","CHECKING","University HealtPR PAYMENT2507312000-000017938PPD","","Education","8173.09",""
"07/30/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25073011 J 1991793759PPD","","Insurance","","-387.88"
"07/29/2025","CHECKING","CHECK","2478","Uncategorized Expense","","-182.00"
"07/25/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25072525072568770PPD","","Healthcare - HSA Spending Account/Insurance","3076.50",""
"07/21/2025","CHECKING","VENMO PAYMENT 2507211043599091169WEB","","Uncategorized Expense","","-190.00"
"07/21/2025","CHECKING","CHASE CREDIT CRDEPAY 2507198573678022WEB","","Transfer Between Accounts/Credit Card Payment","","-10000.00"
"07/21/2025","CHECKING","CITY OF ALCOA BANK DRAFT250719142032002PPD","","Utilities","","-279.00"
"07/17/2025","CHECKING","PLANET FITNESS MIClub Fees250717PR2519706377226PPD","","Healthcare - HSA Spending Account","","-10.00"
"07/17/2025","CHECKING","PLANET FITNESS MIClub Fees250717PR2519706314945PPD","","Healthcare - HSA Spending Account","","-10.00"
"07/17/2025","CHECKING","PLANET FITNESS MIClub Fees250717PR2519705859420PPD","","Healthcare - HSA Spending Account","","-23.06"
"07/15/2025","CHECKING","ALLY ALLY PAYMT250715670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"07/11/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25071125071168770PPD","","Medical","3076.49",""
"07/10/2025","CHECKING","0710Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"07/09/2025","CHECKING","ELECTRICFUND BANK DRAFT250709UM393818PPD","","Utilities/Gas/Electric","","-176.77"
"07/07/2025","CHECKING","0707JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2350.04"
"07/07/2025","CHECKING","CHASE CREDIT CRDAUTOPAY 250707000000000618569PPD","","Transfer Between Accounts/Credit Card Payment","","-990.00"
"07/07/2025","CHECKING","VENMO PAYMENT 2507071043280024732WEB","","Uncategorized Expense","","-190.00"
"07/03/2025","CHECKING","Rocket Money Premium 250703ST-R3O2B9O8M4Z5CCD","","Insurance","","-6.59"
"07/03/2025","CHECKING","MTN LAUREL ASSC INS PREM 25070311011278 DANNYPPD","","Insurance","","-133.26"
"07/02/2025","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","428.03",""
"07/02/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25070211 J 1991793759PPD","","Insurance","","-387.89"
"07/01/2025","CHECKING","0701Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"06/30/2025","CHECKING","University HealtPR PAYMENT2506282000-000017938PPD","","Education","9368.08",""
"06/27/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25062725062768770PPD","","Medical","3076.50",""
"06/26/2025","CHECKING","CHECK","2476","Uncategorized Expense","","-260.00"
"06/23/2025","CHECKING","0623Mike Knoxville TN","","Uncategorized Expense","","-60.00"
"06/23/2025","CHECKING","VENMO PAYMENT 2506231042992536062WEB","","Uncategorized Expense","","-190.00"
"06/20/2025","CHECKING","CITY OF ALCOA BANK DRAFT250619142032002PPD","","Utilities","","-245.00"
"06/17/2025","CHECKING","CHECK","2475","Uncategorized Expense","","-186.00"
"06/17/2025","CHECKING","PLANET FITNESS MIClub Fees250617PR2516703774188PPD","","Healthcare - HSA Spending Account","","-10.00"
"06/17/2025","CHECKING","PLANET FITNESS MIClub Fees250617PR2516703289657PPD","","Healthcare - HSA Spending Account","","-10.00"
"06/17/2025","CHECKING","PLANET FITNESS MIClub Fees250617PR2516702573606PPD","","Healthcare - HSA Spending Account","","-23.06"
"06/13/2025","CHECKING","ALLY ALLY PAYMT250613670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"06/13/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25061325061368770PPD","","Healthcare - HSA Spending Account/Insurance","3076.49",""
"06/10/2025","CHECKING","0610Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"06/09/2025","CHECKING","VENMO PAYMENT 2506091042701381195WEB","","Uncategorized Expense","","-190.00"
"06/09/2025","CHECKING","ELECTRICFUND BANK DRAFT250607UM393818PPD","","Utilities/Gas/Electric","","-204.63"
"06/04/2025","CHECKING","0604JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2350.04"
"06/04/2025","CHECKING","CHASE CREDIT CRDEPAY 2506048456661750WEB","","Transfer Between Accounts/Credit Card Payment","","-5000.00"
"06/03/2025","CHECKING","MTN LAUREL ASSC INS PREM 25060311011278 DANNYPPD","","Insurance","","-133.26"
"06/03/2025","CHECKING","Rocket Money Premium 250603ST-N6H4U3Y7E4O4CCD","","Insurance","","-6.59"
"06/02/2025","CHECKING","0602Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"05/30/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25053011 J 1991793759PPD","","Insurance","","-386.97"
"05/30/2025","CHECKING","University HealtPR PAYMENT2505302000-000017938PPD","","Education","9368.09",""
"05/30/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25053025053068770PPD","","Healthcare - HSA Spending Account/Insurance","3134.58",""
"05/27/2025","CHECKING","VENMO PAYMENT 2505271042391290005WEB","","Uncategorized Expense","","-190.00"
"05/22/2025","CHECKING","WITHDRAWAL FROM ATM 0621 05/22 112 S HALL ROAD0621 112 S HALL","","Financial Services/ATM","","-300.00"
"05/20/2025","CHECKING","WITHDRAWAL FROM ATM 0621 05/20 112 S HALL ROAD0621 112 S HALL","","Financial Services/ATM","","-300.00"
"05/19/2025","CHECKING","PLANET FITNESS MIClub Fees250519PR2513604944627PPD","","Healthcare - HSA Spending Account","","-10.00"
"05/19/2025","CHECKING","PLANET FITNESS MIClub Fees250519PR2513604505338PPD","","Healthcare - HSA Spending Account","","-10.00"
"05/19/2025","CHECKING","PLANET FITNESS MIClub Fees250519PR2513603831512PPD","","Healthcare - HSA Spending Account","","-23.06"
"05/19/2025","CHECKING","CITY OF ALCOA BANK DRAFT250517142032002PPD","","Utilities","","-177.00"
"05/16/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25051625051668770PPD","","Healthcare - HSA Spending Account/Insurance","3076.50",""
"05/13/2025","CHECKING","ALLY ALLY PAYMT250513670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"05/12/2025","CHECKING","0512Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"05/12/2025","CHECKING","VENMO PAYMENT 2505121042094668275WEB","","Uncategorized Expense","","-190.00"
"05/09/2025","CHECKING","MISC. DEBIT","","Uncategorized Expense","","-30.00"
"05/09/2025","CHECKING","ELECTRICFUND BANK DRAFT250509UM393818PPD","","Utilities/Gas/Electric","","-182.12"
"05/08/2025","CHECKING","WITHDRAWAL FROM ATM 0903 05/08 1002 E LAMAR AL0903 1002 E LAMA","","Financial Services/ATM","","-300.00"
"05/06/2025","CHECKING","VENMO PAYMENT 2505061042012920696WEB","","Uncategorized Expense","","-500.00"
"05/05/2025","CHECKING","0505JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2350.04"
"05/05/2025","CHECKING","Rocket Money Premium 250505ST-A3I5W2F4K2F3CCD","","Insurance","","-6.59"
"05/05/2025","CHECKING","CHASE CREDIT CRDEPAY 2505058378837760WEB","","Transfer Between Accounts/Credit Card Payment","","-13000.00"
"05/05/2025","CHECKING","MTN LAUREL ASSC INS PREM 25050311011278 DANNYPPD","","Insurance","","-133.26"
"05/02/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25050225050268770PPD","","Healthcare - HSA Spending Account/Insurance","3076.49",""
"05/01/2025","CHECKING","0501Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"04/30/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25043011 J 1991793759PPD","","Insurance","","-387.00"
"04/30/2025","CHECKING","University HealtPR PAYMENT2504302000-000017938PPD","","Education","9368.08",""
"04/28/2025","CHECKING","VENMO PAYMENT 2504281041778379274WEB","","Uncategorized Expense","","-190.00"
"04/21/2025","CHECKING","CITY OF ALCOA BANK DRAFT250419142032002PPD","","Utilities","","-94.00"
"04/18/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25041825041868770PPD","","Medical","3076.51",""
"04/17/2025","CHECKING","PLANET FIT CLUB FEES 2504172510603652756PPD","","Personal Care","","-10.00"
"04/17/2025","CHECKING","PLANET FIT CLUB FEES 2504172510603652091PPD","","Personal Care","","-10.00"
"04/17/2025","CHECKING","PLANET FIT CLUB FEES 2504172510603642651PPD","","Personal Care","","-23.06"
"04/16/2025","CHECKING","PAYPAL INST XFER 250416POSHMARKWEB","","Clothing","","-22.25"
"04/15/2025","CHECKING","ALLY ALLY PAYMT250415670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"04/14/2025","CHECKING","CHASE CREDIT CRDEPAY 2504148327208789WEB","","Transfer Between Accounts/Credit Card Payment","","-3000.00"
"04/14/2025","CHECKING","VENMO PAYMENT 2504141041488507948WEB","","Uncategorized Expense","","-190.00"
"04/14/2025","CHECKING","PAYMENT 9100 04/12 NETFLIX.COM0000 NETFLIX.COM","","Entertainment","","-27.36"
"04/11/2025","CHECKING","CHECK","2474","Uncategorized Expense","","-72.00"
"04/10/2025","CHECKING","0410Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"04/09/2025","CHECKING","ELECTRICFUND BANK DRAFT250409UM393818PPD","","Utilities/Gas/Electric","","-108.85"
"04/04/2025","CHECKING","0404JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2350.04"
"04/04/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25040425040468770PPD","","Healthcare - HSA Spending Account/Insurance","3076.50",""
"04/03/2025","CHECKING","Rocket Money Premium 250403ST-M6I7V7M2B3R5CCD","","Insurance","","-6.59"
"04/03/2025","CHECKING","CHASE CREDIT CRDEPAY 2504038299567688WEB","","Transfer Between Accounts/Credit Card Payment","","-2700.00"
"04/03/2025","CHECKING","MTN LAUREL ASSC INS PREM 25040311011278 DANNYPPD","","Insurance","","-133.26"
"04/02/2025","CHECKING","IRS TREAS 310 TAX REF 250402XXXXXXXXXXXXXXXPPD","","Income","2791.00",""
"04/01/2025","CHECKING","0401Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"04/01/2025","CHECKING","PLANET FIT CLUB FEES 2504012509001755816PPD","","Personal Care","","-39.00"
"04/01/2025","CHECKING","PLANET FIT CLUB FEES 2504012509001755766PPD","","Personal Care","","-39.00"
"04/01/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25040111 J 1991793759PPD","","Insurance","","-386.92"
"03/31/2025","CHECKING","0328VZWRLSS*APOCC 800-922-0204 FL************7304","","Utilities/Phone","","-278.68"
"03/31/2025","CHECKING","CHASE CREDIT CRDEPAY 2503318288042452WEB","","Transfer Between Accounts/Credit Card Payment","","-11000.00"
"03/31/2025","CHECKING","VENMO PAYMENT 2503311041183133163WEB","","Uncategorized Expense","","-190.00"
"03/31/2025","CHECKING","University HealtPR PAYMENT2503292000-000017938PPD","","Education","9368.08",""
"03/26/2025","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","299.00",""
"03/24/2025","CHECKING","0322ATMOS ENERGY 888-286-6700 TX************7304","","Utilities/Gas/Electric","","-79.60"
"03/24/2025","CHECKING","0322APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"03/24/2025","CHECKING","0322EMF&K-LOVE 800-525-5683 CA************7304","","Contributions","","-15.00"
"03/21/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25032125032168770PPD","","Healthcare - HSA Spending Account/Insurance","3015.06",""
"03/19/2025","CHECKING","CITY OF ALCOA BANK DRAFT250319142032002PPD","","Utilities","","-122.00"
"03/17/2025","CHECKING","0316APPLE.COM/BILL 866-712-7753 CA************7304","","Entertainment","","-2.99"
"03/17/2025","CHECKING","0316SXM*SIRIUSXM.C 888-635-5144 NY************7304","","Entertainment","","-27.42"
"03/17/2025","CHECKING","0314ATT*BILL PAYME 800-288-2020 TX************7304","","Utilities/TV","","-117.68"
"03/17/2025","CHECKING","PLANET FIT CLUB FEES 2503172507304118809PPD","","Personal Care","","-10.00"
"03/17/2025","CHECKING","PLANET FIT CLUB FEES 2503172507304118142PPD","","Personal Care","","-10.00"
"03/17/2025","CHECKING","PLANET FIT CLUB FEES 2503172507304108126PPD","","Personal Care","","-23.06"
"03/17/2025","CHECKING","VENMO PAYMENT 2503171040885410140WEB","","Uncategorized Expense","","-190.00"
"03/13/2025","CHECKING","ALLY ALLY PAYMT250313670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"03/12/2025","CHECKING","PAYMENT 9100 03/12 NETFLIX.COM0000 NETFLIX.COM","","Entertainment","","-27.36"
"03/11/2025","CHECKING","ELECTRICFUND BANK DRAFT250311UM393818PPD","","Utilities/Gas/Electric","","-130.83"
"03/10/2025","CHECKING","0310Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"03/10/2025","CHECKING","CHASE CREDIT CRDEPAY 2503108238669112WEB","","Transfer Between Accounts/Credit Card Payment","","-15000.00"
"03/07/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25030725030768770PPD","","Healthcare - HSA Spending Account/Insurance","9541.57",""
"03/05/2025","CHECKING","0305JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2333.06"
"03/04/2025","CHECKING","CHECK","2473","Uncategorized Expense","","-385.00"
"03/04/2025","CHECKING","0303Google YouTube 650-2530000 CA************7304","","Entertainment","","-90.87"
"03/04/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25030411 J 1991793759PPD","","Insurance","","-386.90"
"03/04/2025","CHECKING","MTN LAUREL ASSC INS PREM 25030411011278 DANNYPPD","","Insurance","","-133.26"
"03/03/2025","CHECKING","CHECK","2472","Uncategorized Expense","","-220.00"
